Page,Users,Sessions,Users % of Total,Pageviews,Unique Pageviews,Entrances,Bounce Rate
/catalog/view/urn:uuid:9f079e66-19eb-47e1-9bbd-340f72b890c4,4,2,0.002397,4,4,2,1
/catalog/view/doi:10.18739/A26H4CR1M,4,4,0.002382,4,4,4,1
/catalog/view/doi:10.18739/A2Q814T1Q,4,3,0.002367,4,4,3,1
/catalog/view/urn:uuid:353f197e-12fc-43b7-9841-aeccafaf78f0,4,1,0.002352,8,5,1,0
/catalog/view/dcx_26a98c04-9512-404d-92f1-b9aedb6379dd_2,4,4,0.002338,7,5,4,0.75
/catalog/view/doi:10.18739/A2FX73Z7B,4,2,0.002324,5,4,2,1
/catalog/view/doi:10.18739/A2CR5ND3R,4,4,0.00231,4,4,4,1
/catalog/view/doi:10.18739/A24B2X56X,4,2,0.002296,4,4,2,1
/catalog/view/doi:10.18739/A2QR4NR0H,3,3,0.002281,3,3,3,1
/catalog/portals/QGreenland,3,0,0.002266,6,3,0,null
/catalog/view/doi:10.18739/A2GX44V7K,3,2,0.002252,3,3,2,1
/catalog/view/doi:10.18739/A28B9H,3,3,0.002238,3,3,3,1
/catalog/view/urn:uuid:cfcd39be-bd63-4309-9de0-6de441e2cc35,3,3,0.002224,3,3,3,1
/catalog/view/doi:10.18739/A23F4KP1K,3,3,0.00221,3,3,3,1
/catalog/view/doi:10.18739/A2C24QN9B,3,2,0.002196,3,3,2,1
/catalog/view/doi:10.18739/A26688K40,3,3,0.002183,3,3,3,1
/catalog/view/doi:10.18739/A2VH5CJ8K,3,3,0.00217,3,3,3,0.666666667
/catalog/view/doi:10.18739/A2FB92,3,3,0.002157,3,3,3,1
/catalog/view/doi:10.18739/A2028PD2H,3,2,0.002144,5,3,2,1
/catalog/view/urn:uuid:45b570a7-b9e9-4fa9-879e-5aae6c274a8d,3,2,0.002132,6,3,2,0.5
/catalog/view/dcx_7dcca82e-4930-45ad-a540-e91d1cf468a3_2,3,2,0.002119,3,3,2,1
